pmid,year,journal,title,n_runs,runs
15757122,2005,Am J Vet Res,"Glucose, lactate, and pyruvate concentrations in dogs with babesiosis.",1,102
18419139,2008,Anal Chem,"NMR-based characterization of metabolic alterations in hypertension using an adaptive, intelligent binning algorithm.",1,100
18702533,2008,Anal Chem,Robust algorithms for automated chemical shift calibration of 1D 1H NMR spectra of blood serum.,1,5
20301489,1993,,Glycogen Storage Disease Type I.,1,6
21359215,2011,PLoS One,The human serum metabolome.,4,0|103|104|5
21380855,2011,J Biomol NMR,The application of micro-coil NMR probe technology to metabolomics of urine and serum.,1,5
22043772,2011,J Med Assoc Thai,Correlation between serum and salivary phenytoin concentrations in Thai epileptic children.,1,0
22766756,2012,Anal Bioanal Chem,Quantitative NMR for bioanalysis and metabolomics.,1,104
23510994,,,,1,5
23828638,2014,NMR Biomed,High-resolution NMR spectroscopy of human body fluids and tissues in relation to prostate cancer.,2,104|5
23988149,2013,OMICS,Cell metabolomics.,1,104
24027187,,,,1,2
24576772,2014,Meat Sci,"Association of blood glucose, blood lactate, serum cortisol levels, muscle metabolites, muscle fiber type composition, and pork quality traits.",1,6
25299963,2014,Atherosclerosis,The emergence of proton nuclear magnetic resonance metabolomics in the cardiovascular arena as viewed from a clinical perspective.,1,5
25375201,2015,Anal Chem,NMR spectroscopy for metabolomics and metabolic profiling.,1,5
25499120,2015,Clin Chim Acta,¹H NMR-derived serum metabolomics of leukoplakia and squamous cell carcinoma.,2,104|5
25677154,2015,Methods Mol Biol,The strengths and weaknesses of NMR spectroscopy and mass spectrometry with particular focus on metabolomics research.,2,104|5
25849323,,,,1,5
26009817,,,,2,1|5
26147529,2015,Curr Opin Clin Nutr Metab Care,Serum metabolomics in animal models and human disease.,2,0|103
26592771,,,,1,5
26674646,2015,PLoS One,Serum Metabolite Biomarkers Discriminate Healthy Smokers from COPD Smokers.,1,102
26926967,,,,1,5
27158896,2016,PLoS One,Metabolic Characterization of Advanced Liver Fibrosis in HCV Patients as Studied by Serum 1H-NMR Spectroscopy.,1,5
27197810,2016,Prostate,NMR spectroscopy of filtered serum of prostate cancer: A new frontier in metabolomics.,2,104|5
27294413,2016,Hum Genomics,"Human genome meeting 2016 : Houston, TX, USA. 28 February - 2 March 2016.",1,0
27510537,2016,Am J Clin Nutr,Comparing metabolite profiles of habitual diet in serum and urine.,1,102
27770143,2017,Inflamm Res,(1)H nuclear magnetic resonance (NMR)-based serum metabolomics of human gallbladder inflammation.,1,4
27808173,2016,Sci Rep,Metabolic effects of basic fibroblast growth factor in streptozotocin-induced diabetic rats: A (1)H NMR-based metabolomics investigation.,1,1
28831094,2017,Sci Rep,Serum and urine (1)H NMR-based metabolomics in the diagnosis of selected thyroid diseases.,1,104
28948574,2017,CNS Drugs,Correlation Between Serum Concentrations of N-Desmethylclozapine and Granulocyte Levels in Patients with Schizophrenia: A Retrospective Observational Study.,1,0
29030664,2017,Anal Bioanal Chem,SOFAST-HMQC-an efficient tool for metabolomics.,1,5
29094215,2018,Amino Acids,Insulin resistance and glycine metabolism in humans.,1,101
29110774,2017,Handb Clin Neurol,Epilepsy.,1,6
29168502,2017,Nature,A gut bacterial pathway metabolizes aromatic amino acids into nine circulating metabolites.,2,0|103
29239245,2018,Crit Rev Clin Lab Sci,"Serum and plasma amino acids as markers of prediabetes, insulin resistance, and incident diabetes.",1,101
29353036,,,,1,5
29413985,2018,J Pharm Biomed Anal,Beyond the limit of assignment of metabolites using minimal serum samples and (1)H NMR spectroscopy with cross-validation by mass spectrometry.,1,5
29530051,2018,Radiat Oncol,Serum proton NMR metabolomics analysis of human lung cancer following microwave ablation.,2,4|5
29712497,2019,J Matern Fetal Neonatal Med,First-trimester metabolomic prediction of stillbirth.,1,101
29786797,2018,Methods Mol Biol,NMR-Based Prostate Cancer Metabolomics.,2,104|5
29871692,2018,Arthritis Res Ther,Metabolomics approach by (1)H NMR spectroscopy of serum reveals progression axes for asymptomatic hyperuricemia and gout.,2,104|5
29999221,2019,Angew Chem Int Ed Engl,High-Throughput Metabolomics by 1D NMR.,1,5
30270368,,,,1,5
30293576,2018,Mol Metab,Human metabolomics reveal daily variations under nutritional challenges specific to serum and skeletal muscle.,2,0|103
30350281,2019,Methods Mol Biol,"LC-MS/MS Method for the Quantification of the Leflunomide Metabolite, Teriflunomide, in Human Serum/Plasma.",1,100
30350283,2019,Methods Mol Biol,Quantification of Methotrexate in Human Serum and Plasma by Liquid Chromatography Tandem Mass Spectrometry.,1,100
30404627,2018,BMC Med,Determinants of the urinary and serum metabolome in children from six European populations.,1,1
